date,total_balance_normal,unlocked_balance_normal,benchmark,total_balance_short_only,unlocked_balance_short_only,total_balance_long_only,unlocked_balance_long_only
2025-01-31T16:00:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-01-31T16:10:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-01-31T16:20:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-01-31T16:30:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-01-31T16:40:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-01-31T16:50:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-01-31T17:00:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-01-31T17:10:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-01-31T17:20:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-01-31T17:30:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-01-31T17:40:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-01-31T17:50:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-01-31T18:00:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-01-31T18:10:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-01-31T18:20:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-01-31T18:30:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-01-31T18:40:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-01-31T18:50:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-01-31T19:00:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-01-31T19:10:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-01-31T19:20:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-01-31T19:30:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-01-31T19:40:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-01-31T19:50:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-01-31T20:00:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-01-31T20:10:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-01-31T20:20:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-01-31T20:30:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-01-31T20:40:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-01-31T20:50:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-01-31T21:00:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-01-31T21:10:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-01-31T21:20:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-01-31T21:30:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-01-31T21:40:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-01-31T21:50:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-01-31T22:00:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-01-31T22:10:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-01-31T22:20:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-01-31T22:30:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-01-31T22:40:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-01-31T22:50:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-01-31T23:00:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-01-31T23:10:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-01-31T23:20:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-01-31T23:30:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-01-31T23:40:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-01-31T23:50:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T00:00:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T00:10:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T00:20:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T00:30:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T00:40:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T00:50:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T01:00:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T01:10:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T01:20:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T01:30:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T01:40:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T01:50:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T02:00:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T02:10:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T02:20:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T02:30:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T02:40:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T02:50:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T03:00:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T03:10:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T03:20:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T03:30:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T03:40:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T03:50:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T04:00:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T04:10:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T04:20:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T04:30:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T04:40:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T04:50:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T05:00:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T05:10:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T05:20:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T05:30:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T05:40:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T05:50:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T06:00:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T06:10:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T06:20:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T06:30:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T06:40:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T06:50:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T07:00:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T07:10:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T07:20:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T07:30:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T07:40:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T07:50:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T08:00:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T08:10:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T08:20:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T08:30:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T08:40:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T08:50:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T09:00:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T09:10:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T09:20:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T09:30:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T09:40:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T09:50:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T10:00:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T10:10:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T10:20:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T10:30:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T10:40:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T10:50:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T11:00:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T11:10:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T11:20:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T11:30:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T11:40:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T11:50:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T12:00:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T12:10:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T12:20:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T12:30:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T12:40:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T12:50:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T13:00:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T13:10:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T13:20:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T13:30:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T13:40:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T13:50:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T14:00:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T14:10:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T14:20:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T14:30:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T14:40:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T14:50:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T15:00:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T15:10:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T15:20:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T15:30:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T15:40:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T15:50:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T16:00:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T16:10:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T16:20:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T16:30:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T16:40:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T16:50:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T17:00:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T17:10:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T17:20:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T17:30:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T17:40:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T17:50:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T18:00:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T18:10:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T18:20:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T18:30:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T18:40:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T18:50:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T19:00:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T19:10:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T19:20:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T19:30:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T19:40:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T19:50:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T20:00:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T20:10:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T20:20:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T20:30:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T20:40:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T20:50:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T21:00:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T21:10:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T21:20:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T21:30:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T21:40:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T21:50:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T22:00:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T22:10:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T22:20:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T22:30:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
2025-02-01T22:40:00.000+0000,999975.6392378401,969549.0473000001,999999.9999999999,999979.8952484002,974869.0605000001,1000000.0,1000000.0
